source1_entity_id	split	true_match_count	matched_entity_ids
S1-116515504	final	2	S2-125827563,S3-232274688
S1-11683092	final	3	S2-72975111,S2-392667390,S3-560041788
S1-117065178	final	8	S2-218041394,S2-497205730,S2-606590536,S3-298907840,S3-165773548,S3-981999926,S3-295590695,S3-431171266
S1-117327157	final	0	
S1-117394211	final	3	S2-190005575,S2-608293784,S3-318045312
S1-117962780	final	3	S2-350316717,S3-339825878,S3-418697983
S1-118720227	final	4	S2-981116660,S2-357299771,S2-131783554,S3-774457865
S1-11879046	final	4	S2-455747196,S2-755790108,S2-187822108,S3-706739680
S1-118872768	final	5	S2-690478819,S2-778469263,S2-255377487,S2-180085819,S3-588822997
S1-118927963	final	4	S2-940567445,S2-491769312,S3-715969785,S3-19625231
S1-118979169	final	4	S2-266147454,S2-710264878,S3-762581703,S3-23488883
S1-119503811	final	2	S2-751992259,S3-912142202
S1-120022536	final	3	S2-567325473,S3-777947388,S3-312510359
S1-120297050	final	3	S2-657914534,S2-558343099,S3-202650136
S1-123019003	final	5	S2-206165464,S2-550374961,S3-889233926,S3-986220249,S3-613524635
S1-123136210	final	5	S2-377331030,S2-884637192,S3-235693867,S3-383488428,S3-677495131
S1-123730510	final	5	S2-731988992,S2-905273151,S3-2995572,S3-408026451,S3-872303156
S1-124437582	final	5	S2-55922055,S2-449243428,S2-439203461,S3-480904367,S3-11315972
S1-124737719	final	1	S2-645162177
S1-125166676	final	3	S2-469576395,S3-158884281,S3-69042275
S1-125643955	final	4	S2-131577575,S3-494816967,S3-737616320,S3-597553084
S1-125691796	final	3	S2-551298503,S2-426647738,S3-943368835
S1-12640305	final	6	S2-525760668,S2-422332685,S2-587674277,S3-863235489,S3-990523837,S3-187826064
S1-126769618	final	4	S2-513903749,S2-226635954,S2-862069100,S3-365779239
S1-127418102	final	2	S2-459518193,S3-727811984
S1-127559430	final	1	S2-58903487
S1-127814947	final	4	S2-828351919,S2-396355012,S3-302657739,S3-150547457
S1-129166503	final	1	S3-418926728
S1-129456518	final	6	S2-561981950,S2-961813372,S2-915705976,S3-341373361,S3-450166708,S3-786174746
S1-130823655	final	3	S2-26287267,S2-281973027,S3-16685487
S1-130958334	final	5	S2-766837670,S3-647714742,S3-168838483,S3-321608432,S3-148762154
S1-131006781	final	3	S2-589939298,S3-909770389,S3-95727152
S1-131558517	final	2	S2-980931090,S3-694413805
S1-131946005	final	4	S2-246080868,S2-244068153,S3-26940743,S3-209089730
S1-132374051	final	1	S3-424666983
S1-133257589	final	3	S2-876424295,S3-836051069,S3-473894648
S1-133319822	final	3	S2-822457944,S3-555307398,S3-620559535
S1-133463233	final	1	S2-994338601
S1-133593668	final	2	S2-997043987,S3-515904534
S1-133619083	final	5	S2-846866185,S3-865621971,S3-74988693,S3-713606281,S3-406057389
S1-134304912	final	4	S2-672183357,S2-159231779,S3-996851112,S3-868128359
S1-135099232	final	4	S2-439094689,S2-724249677,S3-806943905,S3-436241953
S1-13571203	final	6	S2-581561388,S2-651059999,S2-454324803,S2-819374202,S2-835438562,S3-27227209
S1-135889821	final	3	S2-521746682,S2-903957581,S2-283575702
S1-136776216	final	3	S2-435230407,S3-166529653,S3-182300771
S1-136836867	final	6	S2-724458930,S2-567359298,S3-953658325,S3-496935893,S3-711073651,S3-493694436
S1-136858735	final	2	S2-526431043,S2-418044343
S1-136923195	final	4	S2-864920678,S2-648030555,S3-493981701,S3-652799573
S1-137101271	final	4	S2-125819558,S2-973422319,S3-254893243,S3-569799120
S1-137389708	final	3	S2-226619133,S3-831873773,S3-886833362
S1-13802655	final	2	S2-421830308,S3-211608229
S1-138135256	final	4	S2-868628727,S2-532966438,S2-760539097,S3-470499148
S1-138361091	final	6	S2-103827751,S2-609812430,S2-476748978,S2-668556993,S3-602870000,S3-44908756
S1-138460973	final	3	S2-109931755,S3-95815057,S3-403883171
S1-13861037	final	4	S2-601939932,S3-761640062,S3-35931064,S3-47397237
S1-138953331	final	0	
S1-139780493	final	5	S2-312760439,S2-198666448,S3-777594510,S3-985498888,S3-877309782
S1-140145925	final	4	S2-459532962,S2-35052765,S3-786316397,S3-61134087
S1-14054738	final	4	S2-946649349,S2-563586079,S3-275944330,S3-306224259
S1-140548794	final	6	S2-948977293,S2-465896634,S2-539843693,S2-62114573,S3-552521841,S3-959404521
S1-141364800	final	2	S2-187208833,S3-626166797
S1-141524357	final	4	S2-509754797,S3-399411418,S3-572049218,S3-278732680
S1-142050303	final	4	S2-354819390,S2-86268195,S2-507409488,S3-41196295
S1-142183086	final	4	S2-116614172,S2-14378561,S3-110966460,S3-88488502
S1-142257730	final	2	S2-676940060,S3-366745014
S1-144195739	final	4	S2-894363379,S2-861784029,S2-954641387,S3-205766069
S1-144443256	final	3	S2-172305686,S2-127756968,S3-463895170
S1-144838063	final	4	S2-346734561,S2-24335898,S3-804441427,S3-808555698
S1-144885175	final	5	S2-994537602,S2-373951756,S2-653688310,S2-687739077,S3-651144422
S1-145755064	final	2	S3-304397921,S3-260732236
S1-145814357	final	2	S2-136451395,S3-127943598
S1-145890842	final	0	
S1-146017370	final	5	S2-433109138,S3-438287092,S3-873190857,S3-751633033,S3-133574101
S1-146459573	final	3	S2-226251764,S2-705649190,S3-669653895
S1-146616243	final	4	S2-276015173,S2-155154547,S2-349768591,S3-339764385
S1-146759358	final	4	S2-247551288,S3-856472616,S3-49471378,S3-972854956
S1-146994530	final	3	S2-946869310,S2-942900573,S3-547933556
S1-147074650	final	4	S2-931432069,S3-824632735,S3-530572649,S3-833402978
S1-147876432	final	1	S3-931498351
S1-148679670	final	5	S2-660114042,S2-853256459,S2-762015285,S3-717349624,S3-230557884
S1-148776548	final	5	S2-831000525,S3-841538143,S3-363554800,S3-521547300,S3-135788044
S1-149106014	final	7	S2-288316893,S2-484049581,S2-489904623,S2-431720354,S3-229447556,S3-104868637,S3-876415816
S1-149246862	final	3	S2-209959008,S2-337738460,S3-523427506
S1-149293755	final	4	S2-711887940,S2-114916161,S2-981580877,S3-509534497
S1-149413131	final	1	S2-540016643
S1-15015939	final	3	S2-983834851,S3-657749582,S3-214507023
S1-150212508	final	2	S3-37654748,S3-21557432
S1-150484226	final	2	S3-884313688,S3-236510659
S1-151306722	final	8	S2-598808599,S2-864671246,S2-255737090,S3-331640269,S3-356035575,S3-109651287,S3-260918766,S3-815107477
S1-151345760	final	5	S2-493225675,S2-598115798,S3-718446014,S3-360615887,S3-530022028
S1-153195196	final	3	S2-113763474,S3-645982109,S3-496589758
S1-153591310	final	3	S2-689556491,S3-31517950,S3-200748022
S1-153781736	final	2	S2-59455794,S3-344762712
S1-153802548	final	4	S2-730465868,S3-715945083,S3-467449054,S3-619074128
S1-155038000	final	5	S2-967356215,S2-29931656,S3-646168780,S3-942652804,S3-117212252
S1-155319252	final	5	S2-841498762,S2-285235733,S2-893986406,S3-937281126,S3-321393881
S1-155620416	final	2	S2-989024180,S3-495049228
S1-155668038	final	2	S2-628433783,S3-686729701
S1-155988554	final	3	S2-298164149,S3-705786890,S3-887072454
S1-15660912	final	5	S2-177750480,S2-54870556,S2-82500388,S3-905568686,S3-498847764
S1-156907446	final	4	S2-349851138,S2-448426293,S3-232974145,S3-69600614
S1-157008339	final	3	S2-219061894,S3-298689402,S3-543781708
S1-157377652	final	4	S2-418607040,S2-39909483,S3-686259614,S3-822407288
S1-15800324	final	6	S2-739646735,S2-147468605,S3-8145594,S3-757040017,S3-225389290,S3-589374078
S1-158576638	final	2	S2-337951368,S3-641373302
S1-158918070	final	0	
S1-159110357	final	4	S2-401531446,S3-216513114,S3-541930142,S3-370933209
S1-159305119	final	2	S2-484620333,S2-512625015
S1-160006517	final	4	S2-312631496,S2-65735576,S2-259343837,S3-670011501
S1-16034267	final	4	S2-125533587,S2-753453177,S3-889248601,S3-142059250
S1-160872151	final	2	S2-948433483,S3-820780
S1-161466513	final	3	S2-444538458,S2-87159293,S3-678699365
S1-162067437	final	7	S2-796529821,S2-290476487,S2-747911400,S3-873700504,S3-922891591,S3-52539572,S3-820844715
S1-162541228	final	3	S2-261632518,S3-367362468,S3-625445666
S1-162764330	final	5	S2-729158951,S2-30613496,S3-332641731,S3-729639486,S3-734979852
S1-162787624	final	5	S2-811235742,S3-887588468,S3-563192377,S3-504651448,S3-180607676
S1-162943722	final	4	S2-217280762,S3-266875085,S3-795025024,S3-581791204
S1-163399637	final	6	S2-633169423,S2-808040701,S2-628287996,S3-286301441,S3-683153049,S3-539965501
S1-163758770	final	5	S2-817028748,S2-319368446,S3-713897539,S3-500193251,S3-668148903
S1-164124770	final	2	S2-105979090,S3-760081452
S1-164239076	final	3	S2-653690912,S2-208919591,S3-812272585
S1-164679255	final	1	S3-807917570
S1-165328173	final	4	S2-519441071,S3-882344903,S3-769093872,S3-295713177
S1-165544723	final	3	S2-350200587,S3-380461827,S3-941533759
S1-165570161	final	4	S2-20775678,S2-102302758,S3-175765843,S3-763771875
S1-165683354	final	4	S2-718694948,S2-533291029,S3-730792545,S3-477761573
S1-165744375	final	7	S2-465774583,S2-189507370,S2-919792124,S2-255437191,S3-331586568,S3-806510612,S3-603094534
S1-166151669	final	3	S2-121913440,S2-976083190,S3-511412344
S1-166893499	final	2	S2-335286530,S2-800727278
S1-167496919	final	0	
S1-167785990	final	3	S2-838619091,S2-123683319,S3-772291002
S1-168198163	final	4	S2-225242189,S3-447338906,S3-146189167,S3-1458803
S1-168231563	final	4	S2-128250965,S2-420896027,S3-941918832,S3-491510417
S1-168323441	final	2	S2-126289618,S3-333981867
S1-168696161	final	4	S2-987893036,S2-370481392,S2-581705402,S3-667334960
S1-168786946	final	3	S2-193185632,S2-604772933,S3-961588296
S1-168823911	final	2	S3-307085253,S3-621747844
S1-16897037	final	3	S2-259403570,S3-613475501,S3-102494879
S1-16966678	final	4	S3-489507606,S3-277294868,S3-719065775,S3-740625487
S1-170230003	final	3	S2-433947898,S2-417972656,S3-760298326
S1-170389882	final	1	S3-830313460
S1-171888730	final	5	S2-699232928,S2-884988083,S2-206416742,S3-322260039,S3-567904668
S1-17200656	final	7	S2-177184496,S2-89231216,S2-349867548,S3-935966252,S3-394672976,S3-743287352,S3-787605321
S1-173220316	final	4	S2-770160191,S2-622711273,S2-15435641,S3-660920098
S1-173518994	final	2	S2-864338040,S3-45156649
S1-173720298	final	3	S2-953813532,S3-869389124,S3-935726257
S1-173955356	final	2	S2-348561125,S3-217411262
S1-17397	final	3	S2-595192648,S2-147105182,S3-103504177
S1-174655904	final	5	S2-739560997,S3-64757160,S3-985977787,S3-954305905,S3-815942313
S1-175068861	final	4	S2-975911003,S2-339635890,S3-451940785,S3-843066943
S1-175370660	final	1	S2-456437046
S1-175548817	final	3	S2-377670393,S2-451330384,S2-285005400
S1-175828273	final	1	S3-283633581
S1-175885020	final	2	S2-102639649,S3-436760631
S1-176342718	final	5	S2-336021712,S2-207649775,S2-798266277,S2-907935346,S3-530754483
S1-176650023	final	4	S2-400026000,S2-241693190,S2-852568503,S3-131135128
S1-176749030	final	4	S2-336948865,S2-807645444,S3-325848533,S3-76667716
S1-176969804	final	6	S2-697414755,S2-679182086,S3-523270295,S3-244993353,S3-607681395,S3-834832525
S1-17803782	final	4	S2-419169456,S2-569371103,S3-564422040,S3-191069644
S1-178990475	final	7	S2-342983441,S2-411332485,S2-13290847,S2-946094979,S3-311817632,S3-803692382,S3-63712055
S1-179024014	final	4	S2-155011540,S2-52423238,S3-181902647,S3-693553311
S1-180086946	final	3	S3-694095853,S3-758780007,S3-353919230
S1-180267774	final	2	S2-449159125,S3-234400110
S1-180450241	final	7	S2-641322933,S2-932243625,S2-669056236,S3-816848342,S3-803608934,S3-187735312,S3-72427248
S1-180459454	final	2	S2-569310578,S3-75936011
S1-180835343	final	5	S2-791903033,S2-754438036,S3-398220254,S3-596478971,S3-576511481
S1-180975283	final	4	S2-98627130,S2-10490696,S3-219545485,S3-39447829
S1-181040431	final	5	S2-894164697,S2-310303773,S2-521724739,S3-482238563,S3-591669038
S1-181156096	final	4	S2-388972010,S3-190938045,S3-568057580,S3-598965046
S1-182633666	final	3	S2-763686865,S3-892873909,S3-331270405
S1-18268711	final	2	S2-31274275,S3-230085004
S1-183083670	final	6	S2-175198340,S3-690314225,S3-15145328,S3-112855576,S3-811005697,S3-817950141
S1-183773288	final	4	S2-633797537,S3-847169704,S3-698107219,S3-592073366
S1-183817967	final	3	S2-4989843,S3-483571505,S3-292052511
S1-183836604	final	5	S2-554318668,S2-348691048,S2-689046160,S3-220837771,S3-678571893
S1-185107474	final	1	S2-583127153
S1-185231774	final	0	
S1-185354553	final	3	S2-1940863,S2-378785921,S3-227737279
S1-185737753	final	2	S2-228993530,S3-189821987
S1-186865930	final	1	S2-147588601
S1-187679426	final	2	S2-864116363,S3-225344481
S1-188105027	final	2	S2-105941253,S3-91482639
S1-188316926	final	5	S2-19477783,S2-827131597,S2-109724519,S2-584975981,S3-12992688
S1-188891967	final	5	S2-466190996,S2-184478595,S3-402956627,S3-746281313,S3-511899650
S1-189567104	final	2	S2-895637325,S3-562240059
S1-189641412	final	3	S2-910131536,S2-759487174,S3-649161476
S1-189727047	final	5	S2-726641852,S2-402890278,S2-789154505,S2-917365360,S3-882159709
S1-190103743	final	2	S2-197314455,S3-392132436
S1-190772495	final	6	S2-543885483,S3-873915193,S3-721529195,S3-133508812,S3-342338991,S3-424890403
S1-191105834	final	3	S2-516328002,S3-626928147,S3-870067810
S1-191234834	final	6	S2-758761644,S2-192299061,S3-333338090,S3-870471326,S3-351129504,S3-586340746
S1-19218167	final	1	S2-94157178
S1-192370243	final	2	S2-13896043,S3-843521413
S1-192963090	final	4	S2-254264384,S2-421550645,S3-905493807,S3-281431182
S1-193304511	final	1	S3-201645050
S1-193539560	final	4	S2-697234716,S2-924134100,S3-372838469,S3-259847765
S1-193769291	final	3	S2-423440696,S3-497165335,S3-821219155
S1-193791760	final	3	S2-267644615,S2-429991110,S3-978821537
S1-193988645	final	4	S2-57085367,S2-858114773,S3-709410489,S3-284410527
S1-194228259	final	2	S3-189311106,S3-526974447
S1-194346019	final	5	S2-33305021,S2-377922558,S2-963490543,S3-281267550,S3-592510915
S1-194896611	final	4	S2-895733119,S2-634933619,S3-569310827,S3-328464212
S1-194998289	final	1	S3-33267396
S1-195391809	final	2	S2-17141268,S3-789716819
S1-196329833	final	2	S2-641522548,S2-767381807
S1-196698192	final	5	S2-550709025,S2-103277611,S2-299165794,S3-792632912,S3-37980077
S1-197123557	final	4	S2-179137839,S3-456332379,S3-157925947,S3-305921428
S1-197368074	final	2	S2-891879094,S2-347476226
S1-197929617	final	1	S3-846444234
S1-198637498	final	6	S2-410392220,S2-603781456,S2-576167153,S3-634773784,S3-955046766,S3-994385146
S1-198778248	final	3	S2-905740680,S3-951430764,S3-66147883
S1-19943966	final	4	S2-101066803,S3-257988056,S3-467407551,S3-59910081
S1-199856513	final	3	S2-384059820,S2-903208951,S3-377952257
S1-199871125	final	4	S2-998569825,S2-823717565,S3-959981315,S3-188975100
S1-199903691	final	4	S2-102118948,S3-719372158,S3-771432501,S3-621720885
S1-201474914	final	2	S2-634238350,S3-217456276
S1-202213365	final	3	S2-895139428,S3-126053119,S3-423020161
S1-202285289	final	3	S2-678507067,S3-470106499,S3-969916820
S1-20243008	final	3	S2-131817778,S2-140212641,S3-136281030
S1-202626391	final	1	S3-423233062
S1-202687781	final	2	S2-388068048,S3-546993532
S1-202762859	final	2	S2-903812676,S3-337894427
S1-203259692	final	0	
S1-203283515	final	4	S3-47982683,S3-818988315,S3-879667521,S3-386430356
S1-203924253	final	3	S2-233997859,S2-8781579,S3-901914866
S1-20402538	final	4	S2-646157349,S2-488376287,S3-653854426,S3-620361785
S1-20470046	final	0	
S1-204717932	final	3	S2-352555708,S2-810924479,S3-154785542
S1-205237503	final	2	S2-866331077,S3-936738180
S1-205850575	final	2	S3-395387105,S3-105077624
S1-206129160	final	6	S2-913372764,S2-941448736,S2-208683605,S2-682034877,S3-599703100,S3-772890623
S1-206678457	final	2	S3-442366435,S3-844583101
S1-206785994	final	5	S2-333173372,S2-264356521,S2-263348827,S3-887429884,S3-277061106
S1-206858163	final	2	S3-574323070,S3-630765435
S1-206894689	final	4	S2-855707314,S3-136432805,S3-697230421,S3-705729943
S1-206998620	final	4	S2-73437791,S2-445378145,S3-169688653,S3-528900870
S1-207290045	final	4	S2-901778173,S2-825946593,S3-345790654,S3-796148640
S1-207692424	final	2	S2-465014885,S3-615838351
S1-209256353	final	4	S2-50866464,S2-638872887,S3-709990920,S3-422127251
S1-209452150	final	5	S2-629065834,S2-582867266,S2-207328372,S2-8009850,S3-34005945
S1-209668471	final	3	S2-557493912,S2-645794910,S2-515652519
S1-209915854	final	0	
S1-210142155	final	4	S2-40904950,S3-973407431,S3-260490411,S3-492041409
S1-210859163	final	2	S2-42687998,S3-481423445
S1-210921069	final	3	S2-888789837,S2-618360256,S3-879632755
S1-211437224	final	2	S2-871742813,S2-703988889
S1-211601330	final	4	S2-20669881,S2-173478882,S3-319142485,S3-606500651
S1-212112279	final	2	S2-780157112,S3-927833654
S1-212420991	final	3	S2-103972594,S2-128616922,S3-692363556
S1-212899743	final	0	
S1-213063683	final	4	S2-96803276,S2-878084254,S2-285592241,S3-818790182
S1-214262529	final	3	S2-993186348,S3-493804155,S3-158882743
S1-2146203	final	5	S2-571764829,S2-982480647,S2-225975959,S3-8469159,S3-497801310
S1-215185706	final	3	S2-670933959,S2-305946340,S3-858230017
S1-21726142	final	2	S3-473593378,S3-393512451
S1-217429470	final	5	S2-510735954,S2-735620029,S3-225952577,S3-324158197,S3-111478517
S1-217606076	final	3	S2-859385606,S2-414981153,S3-786154060
S1-218098902	final	1	S3-14331016
S1-218776275	final	3	S2-404319879,S3-257856820,S3-791925904
S1-218948982	final	4	S3-741765244,S3-643570047,S3-191881790,S3-160693075
S1-219901474	final	4	S2-924894643,S2-723414878,S3-552546876,S3-707893028
S1-220239834	final	4	S2-454379918,S2-216951750,S3-867684775,S3-855242886
S1-220476727	final	2	S3-310492584,S3-525741644
S1-220580629	final	1	S2-344340461
S1-221108733	final	1	S2-568633000
S1-221309070	final	5	S2-988644940,S2-916129360,S3-991114978,S3-710523803,S3-974482659
S1-221418971	final	1	S3-492995504
S1-221446361	final	5	S2-961429286,S2-579740962,S2-837061549,S3-253351557,S3-594443075
S1-221515670	final	3	S2-150461201,S3-543016981,S3-885793313
S1-222131243	final	3	S2-309383945,S2-283247287,S3-868857516
S1-222433691	final	1	S3-443804466
S1-222591537	final	0	
S1-222678149	final	0	
S1-223947680	final	5	S2-794941736,S2-895456591,S3-796233376,S3-359405033,S3-527587856
S1-224690547	final	2	S2-141275908,S2-871648162
S1-224725178	final	4	S2-902402917,S2-705669642,S2-50278178,S3-576719105
S1-22508150	final	3	S2-416045870,S2-129799617,S3-590211998
S1-225602997	final	4	S2-428494984,S3-361769899,S3-315482907,S3-19299268
S1-225611626	final	3	S2-570189513,S2-896113331,S3-625535819
S1-226568340	final	3	S2-455251429,S3-2835800,S3-433511139
S1-226723997	final	2	S2-495750842,S3-13157467
S1-227362576	final	4	S2-958311703,S2-435006075,S2-527020612,S3-706624910
S1-227604851	final	0	
S1-227792308	final	4	S2-571440650,S2-363224938,S3-699434776,S3-473094831
S1-22781176	final	6	S2-834243870,S2-535995395,S3-516682517,S3-369129675,S3-336993492,S3-291404197
S1-227981337	final	1	S3-507732603
S1-228813371	final	3	S2-443538953,S3-85704108,S3-639336352
S1-228856113	final	5	S2-203499752,S2-705815104,S2-691868492,S3-812413270,S3-923630040
S1-228936448	final	10	S2-184936191,S2-718425341,S2-279426616,S2-358751618,S3-126574375,S3-94564916,S3-348224623,S3-216307450,S3-377658739,S3-39590264
S1-229511821	final	4	S2-221569245,S3-852378436,S3-528122854,S3-179308905
S1-229561137	final	4	S2-496403893,S2-339842022,S2-220132431,S3-347884830
S1-22973103	final	4	S2-202399006,S2-4145069,S3-393835637,S3-621294884
S1-230235923	final	3	S2-446220955,S2-10080347,S3-581000603
S1-230427486	final	8	S2-710252177,S2-39742597,S2-846090781,S2-339083693,S3-837905864,S3-739844067,S3-560629427,S3-181538822
S1-23086198	final	5	S2-194207518,S2-205742184,S2-92500432,S3-236683429,S3-551946296
S1-230893842	final	0	
S1-231473290	final	6	S2-278452504,S2-205355052,S3-668821380,S3-51209739,S3-128137435,S3-732206262
S1-231849231	final	7	S2-1894459,S2-475754266,S2-171578467,S2-605704730,S3-807089206,S3-245315045,S3-374077339
S1-23244729	final	3	S3-701138169,S3-974387953,S3-599262987
S1-232577541	final	3	S2-333256105,S3-487765847,S3-774921544
S1-23270586	final	4	S2-645012902,S2-433310659,S3-666982592,S3-501871988
S1-233134029	final	3	S2-600518317,S3-438298418,S3-982635242
S1-233257715	final	3	S2-748796489,S2-873201579,S3-111287690
S1-234199715	final	5	S2-236776427,S2-964087748,S3-499367705,S3-978282757,S3-441290800
S1-234450804	final	4	S2-941189897,S2-329255931,S3-847378795,S3-730473290
S1-235159167	final	2	S2-820927074,S3-501583213
S1-23549075	final	6	S2-456792011,S2-288952147,S3-785352398,S3-626932736,S3-794169420,S3-812057302
S1-236178120	final	6	S2-928344782,S2-400153380,S3-200760767,S3-772511085,S3-411955994,S3-254537434
S1-236760875	final	5	S2-408523756,S2-714913837,S2-514906074,S2-986924848,S3-554792204
S1-237090525	final	3	S2-111347105,S3-989631013,S3-340543860
S1-237255459	final	3	S2-200921264,S2-363082441,S3-674427818
S1-237472174	final	4	S2-659530493,S2-175252897,S3-376244472,S3-594558981
S1-237659402	final	4	S2-634328600,S3-408746784,S3-214046617,S3-118971053
S1-238067071	final	2	S2-510358309,S3-622635187
S1-239564503	final	3	S2-788456478,S3-653779183,S3-295778645
S1-239728638	final	3	S2-987576690,S2-621256502,S3-970087034
S1-239824225	final	4	S2-378028900,S2-630244517,S2-194640139,S3-645799769
S1-240183478	final	3	S2-281786376,S3-147670345,S3-261201937
S1-240575566	final	4	S2-547216976,S2-893860469,S3-884486593,S3-609785516
S1-240636576	final	1	S2-122742717
S1-241765849	final	5	S2-963161132,S2-13916353,S3-754109692,S3-660309861,S3-751522445
S1-241989651	final	3	S2-164153311,S3-642672606,S3-563217533
S1-242575045	final	0	
S1-242887021	final	4	S2-118021964,S2-794661586,S3-88297369,S3-417562545
S1-243622189	final	4	S2-73610044,S2-398538636,S3-337325878,S3-652379885
S1-243860323	final	2	S2-498946861,S2-988968064
S1-244055138	final	5	S2-746308392,S2-859549094,S2-774644896,S3-464258862,S3-204379828
S1-244698438	final	1	S3-576118533
S1-245110030	final	6	S2-958916499,S2-266132477,S3-406237637,S3-555547770,S3-589575092,S3-178161833
S1-246232481	final	7	S2-592194895,S2-491510252,S2-322931761,S3-607573437,S3-966133156,S3-374739999,S3-801387816
S1-246824259	final	5	S2-551446442,S2-204739171,S3-222410858,S3-539781922,S3-939246830
S1-247039608	final	4	S2-393962564,S3-415906895,S3-248156611,S3-924636055
S1-247171209	final	3	S2-759195155,S3-751632,S3-65621739
S1-24726307	final	4	S2-795261730,S2-920729732,S2-197434293,S2-107152416
S1-248496921	final	2	S3-117898026,S3-363636339
S1-248614665	final	3	S2-533394962,S3-220599132,S3-169159557
S1-248822146	final	2	S2-854899587,S3-866050629
S1-249188621	final	4	S2-155358477,S3-260072830,S3-592250875,S3-814230016
S1-249192822	final	3	S2-602218611,S3-462771750,S3-135944436
S1-250901772	final	4	S2-422213410,S2-967592189,S2-30248804,S3-261752485
S1-251016013	final	2	S2-598862212,S3-693394364
S1-251060982	final	3	S2-74728973,S3-407036291,S3-62553652
S1-251941083	final	7	S2-774020504,S2-897603519,S2-232030983,S2-733988279,S3-278678266,S3-786853305,S3-499403444
S1-252055831	final	4	S2-848256938,S2-408406396,S2-960229925,S3-682270995
S1-252300661	final	5	S2-317525518,S2-324062472,S2-182700870,S3-415669145,S3-884074777
S1-252327047	final	3	S2-190994545,S2-156822729,S3-662569113
S1-252704244	final	3	S2-26731786,S2-157379574,S3-209489350
S1-253004648	final	2	S2-461113547,S3-236772746
S1-253149859	final	3	S2-36384217,S2-722513957,S3-531125996
